chr	start	end	gene	strand	exon	transcript_ID
chr1	164815821	164815913	PBX1	+	9	NM_002585
chr1	179076853	179078576	ABL2	-	12	NM_007314
chr1	179079417	179079590	ABL2	-	11	NM_007314
chr1	179081444	179081533	ABL2	-	10	NM_007314
chr1	179084013	179084165	ABL2	-	9	NM_007314
chr1	179086467	179086651	ABL2	-	8	NM_007314
chr1	179087722	179087899	ABL2	-	7	NM_007314
chr1	179089325	179089409	ABL2	-	6	NM_007314
chr1	179090730	179091002	ABL2	-	5	NM_007314
chr1	179095512	179095807	ABL2	-	4	NM_007314
chr1	179100446	179100616	ABL2	-	3	NM_007314
chr1	179102447	179102509	ABL2	-	2	NM_007314
chr1	179198376	179198532	ABL2	-	1	NM_007314
chr1	179076853	179078033	ABL2	-	12	NM_001168238
chr1	179078343	179078576	ABL2	-	11	NM_001168238
chr1	179079417	179079590	ABL2	-	10	NM_001168238
chr1	179081444	179081533	ABL2	-	9	NM_001168238
chr1	179084013	179084165	ABL2	-	8	NM_001168238
chr1	179086467	179086651	ABL2	-	7	NM_001168238
chr1	179087722	179087899	ABL2	-	6	NM_001168238
chr1	179089325	179089409	ABL2	-	5	NM_001168238
chr1	179090730	179091002	ABL2	-	4	NM_001168238
chr1	179095512	179095807	ABL2	-	3	NM_001168238
chr1	179100446	179100616	ABL2	-	2	NM_001168238
chr1	179198376	179198532	ABL2	-	1	NM_001168238
chr1	179076853	179078033	ABL2	-	13	NM_001168237
chr1	179078343	179078576	ABL2	-	12	NM_001168237
chr1	179079417	179079590	ABL2	-	11	NM_001168237
chr1	179081444	179081533	ABL2	-	10	NM_001168237
chr1	179084013	179084165	ABL2	-	9	NM_001168237
chr1	179086467	179086651	ABL2	-	8	NM_001168237
chr1	179087722	179087899	ABL2	-	7	NM_001168237
chr1	179089325	179089409	ABL2	-	6	NM_001168237
chr1	179090730	179091002	ABL2	-	5	NM_001168237
chr1	179095512	179095807	ABL2	-	4	NM_001168237
chr1	179100446	179100616	ABL2	-	3	NM_001168237
chr1	179102447	179102509	ABL2	-	2	NM_001168237
chr1	179198376	179198532	ABL2	-	1	NM_001168237
chr1	179076853	179078576	ABL2	-	11	NM_001168236
chr1	179079417	179079590	ABL2	-	10	NM_001168236
chr1	179081444	179081533	ABL2	-	9	NM_001168236
chr1	179084013	179084165	ABL2	-	8	NM_001168236
chr1	179086467	179086651	ABL2	-	7	NM_001168236
chr1	179087722	179087899	ABL2	-	6	NM_001168236
chr1	179089325	179089409	ABL2	-	5	NM_001168236
chr1	179090730	179091002	ABL2	-	4	NM_001168236
chr1	179095512	179095807	ABL2	-	3	NM_001168236
chr1	179100446	179100616	ABL2	-	2	NM_001168236
chr1	179198376	179198532	ABL2	-	1	NM_001168236
chr1	179076853	179078033	ABL2	-	12	NM_001168239
chr1	179078343	179078576	ABL2	-	11	NM_001168239
chr1	179079417	179079590	ABL2	-	10	NM_001168239
chr1	179081444	179081533	ABL2	-	9	NM_001168239
chr1	179084013	179084165	ABL2	-	8	NM_001168239
chr1	179086467	179086651	ABL2	-	7	NM_001168239
chr1	179087722	179087899	ABL2	-	6	NM_001168239
chr1	179089325	179089409	ABL2	-	5	NM_001168239
chr1	179090730	179091002	ABL2	-	4	NM_001168239
chr1	179095512	179095807	ABL2	-	3	NM_001168239
chr1	179100446	179100616	ABL2	-	2	NM_001168239
chr1	179112068	179112179	ABL2	-	1	NM_001168239
chr1	179076853	179078576	ABL2	-	12	NM_005158
chr1	179079417	179079590	ABL2	-	11	NM_005158
chr1	179081444	179081533	ABL2	-	10	NM_005158
chr1	179084013	179084165	ABL2	-	9	NM_005158
chr1	179086467	179086651	ABL2	-	8	NM_005158
chr1	179087722	179087899	ABL2	-	7	NM_005158
chr1	179089325	179089409	ABL2	-	6	NM_005158
chr1	179090730	179091002	ABL2	-	5	NM_005158
chr1	179095512	179095807	ABL2	-	4	NM_005158
chr1	179100446	179100616	ABL2	-	3	NM_005158
chr1	179102447	179102509	ABL2	-	2	NM_005158
chr1	179112068	179112179	ABL2	-	1	NM_005158
chr1	179079940	179079980	ABL2	-	10	NM_001136001
chr1	179081444	179081533	ABL2	-	9	NM_001136001
chr1	179084013	179084165	ABL2	-	8	NM_001136001
chr1	179086467	179086651	ABL2	-	7	NM_001136001
chr1	179087722	179087899	ABL2	-	6	NM_001136001
chr1	179089325	179089409	ABL2	-	5	NM_001136001
chr1	179090730	179091002	ABL2	-	4	NM_001136001
chr1	179095512	179095807	ABL2	-	3	NM_001136001
chr1	179100446	179100616	ABL2	-	2	NM_001136001
chr1	179198376	179198532	ABL2	-	1	NM_001136001
chr1	179076853	179078033	ABL2	-	13	NM_001136000
chr1	179078343	179078576	ABL2	-	12	NM_001136000
chr1	179079417	179079590	ABL2	-	11	NM_001136000
chr1	179081444	179081533	ABL2	-	10	NM_001136000
chr1	179084013	179084165	ABL2	-	9	NM_001136000
chr1	179086467	179086651	ABL2	-	8	NM_001136000
chr1	179087722	179087899	ABL2	-	7	NM_001136000
chr1	179089325	179089409	ABL2	-	6	NM_001136000
chr1	179090730	179091002	ABL2	-	5	NM_001136000
chr1	179095512	179095807	ABL2	-	4	NM_001136000
chr1	179100446	179100616	ABL2	-	3	NM_001136000
chr1	179102447	179102509	ABL2	-	2	NM_001136000
chr1	179112068	179112179	ABL2	-	1	NM_001136000
chr2	29416090	29416788	ALK	-	29	NM_004304
chr2	29419636	29419726	ALK	-	28	NM_004304
chr2	29420408	29420542	ALK	-	27	NM_004304
chr2	29430037	29430138	ALK	-	26	NM_004304
chr2	29432652	29432744	ALK	-	25	NM_004304
chr2	29436850	29436947	ALK	-	24	NM_004304
chr2	29443572	29443701	ALK	-	23	NM_004304
chr2	29445210	29445274	ALK	-	22	NM_004304
chr2	29445383	29445473	ALK	-	21	NM_004304
chr2	29446208	29446394	ALK	-	20	NM_004304
chr2	29448327	29448431	ALK	-	19	NM_004304
chr2	29449788	29449940	ALK	-	18	NM_004304
chr2	29450440	29450538	ALK	-	17	NM_004304
chr2	29451750	29451932	ALK	-	16	NM_004304
chr2	29455170	29455314	ALK	-	15	NM_004304
chr2	29456431	29456562	ALK	-	14	NM_004304
chr2	29462546	29462696	ALK	-	13	NM_004304
chr2	29473971	29474133	ALK	-	12	NM_004304
chr2	29497965	29498093	ALK	-	11	NM_004304
chr2	29498268	29498362	ALK	-	10	NM_004304
chr2	29519754	29519923	ALK	-	9	NM_004304
chr2	29541170	29541270	ALK	-	8	NM_004304
chr2	29543617	29543748	ALK	-	7	NM_004304
chr2	29551216	29551347	ALK	-	6	NM_004304
chr2	29606598	29606725	ALK	-	5	NM_004304
chr2	29754781	29754982	ALK	-	4	NM_004304
chr2	29917716	29917880	ALK	-	3	NM_004304
chr2	29940444	29940563	ALK	-	2	NM_004304
chr2	30142859	30143525	ALK	-	1	NM_004304
chr2	29416090	29416788	ALK	-	10	NM_001353765
chr2	29419636	29419726	ALK	-	9	NM_001353765
chr2	29420408	29420542	ALK	-	8	NM_001353765
chr2	29430037	29430138	ALK	-	7	NM_001353765
chr2	29432652	29432744	ALK	-	6	NM_001353765
chr2	29436850	29436947	ALK	-	5	NM_001353765
chr2	29443572	29443701	ALK	-	4	NM_001353765
chr2	29445210	29445274	ALK	-	3	NM_001353765
chr2	29445383	29445473	ALK	-	2	NM_001353765
chr2	29446208	29446362	ALK	-	1	NM_001353765
chr2	89156875	89157196	IGK	+	1	NM_IGK
chr2	89160081	89160117	IGK	+	2	NM_IGK
chr2	89160399	89160435	IGK	+	3	NM_IGK
chr2	89160734	89160770	IGK	+	4	NM_IGK
chr2	89161038	89161075	IGK	+	5	NM_IGK
chr2	89161399	89161435	IGK	+	6	NM_IGK
chr3	3192549	3192729	CRBN	-	11	NM_016302
chr3	3194140	3194271	CRBN	-	10	NM_016302
chr3	3195108	3195172	CRBN	-	9	NM_016302
chr3	3195644	3195759	CRBN	-	8	NM_016302
chr3	3196431	3196515	CRBN	-	7	NM_016302
chr3	3197903	3197965	CRBN	-	6	NM_016302
chr3	3209318	3209477	CRBN	-	5	NM_016302
chr3	3214460	3214609	CRBN	-	4	NM_016302
chr3	3215743	3215945	CRBN	-	3	NM_016302
chr3	3216847	3216953	CRBN	-	2	NM_016302
chr3	3221305	3221371	CRBN	-	1	NM_016302
chr3	3192549	3192729	CRBN	-	11	NM_001173482
chr3	3194140	3194271	CRBN	-	10	NM_001173482
chr3	3195108	3195172	CRBN	-	9	NM_001173482
chr3	3195644	3195759	CRBN	-	8	NM_001173482
chr3	3196431	3196515	CRBN	-	7	NM_001173482
chr3	3197903	3197965	CRBN	-	6	NM_001173482
chr3	3209318	3209477	CRBN	-	5	NM_001173482
chr3	3214460	3214609	CRBN	-	4	NM_001173482
chr3	3215743	3215945	CRBN	-	3	NM_001173482
chr3	3216847	3216950	CRBN	-	2	NM_001173482
chr3	3221305	3221371	CRBN	-	1	NM_001173482
chr3	128199862	128200161	GATA2	-	6	NM_001145662
chr3	128200662	128200745	GATA2	-	5	NM_001145662
chr3	128202703	128202848	GATA2	-	4	NM_001145662
chr3	128204570	128205211	GATA2	-	3	NM_001145662
chr3	128205646	128205874	GATA2	-	2	NM_001145662
chr3	128199862	128200161	GATA2	-	6	NM_032638
chr3	128200662	128200787	GATA2	-	5	NM_032638
chr3	128202703	128202848	GATA2	-	4	NM_032638
chr3	128204570	128205211	GATA2	-	3	NM_032638
chr3	128205646	128205874	GATA2	-	2	NM_032638
chr3	128199862	128200161	GATA2	-	7	NM_001145661
chr3	128200662	128200787	GATA2	-	6	NM_001145661
chr3	128202703	128202848	GATA2	-	5	NM_001145661
chr3	128204570	128205211	GATA2	-	4	NM_001145661
chr3	128205646	128205874	GATA2	-	3	NM_001145661
chr3	128514211	128514263	RAB7A	+	2	NM_004637
chr3	128516786	128516912	RAB7A	+	3	NM_004637
chr3	128525215	128525433	RAB7A	+	4	NM_004637
chr3	128526386	128526514	RAB7A	+	5	NM_004637
chr3	128532170	128532265	RAB7A	+	6	NM_004637
chr3	158310251	158310370	MLF1	+	2	NM_001130156
chr3	158314651	158314734	MLF1	+	3	NM_001130156
chr3	158315869	158315997	MLF1	+	4	NM_001130156
chr3	158317803	158317962	MLF1	+	5	NM_001130156
chr3	158320596	158320728	MLF1	+	6	NM_001130156
chr3	158322886	158322991	MLF1	+	7	NM_001130156
chr3	158310251	158310370	MLF1	+	3	NM_001130157
chr3	158314651	158314734	MLF1	+	4	NM_001130157
chr3	158315869	158315997	MLF1	+	5	NM_001130157
chr3	158317803	158317962	MLF1	+	6	NM_001130157
chr3	158320596	158320728	MLF1	+	7	NM_001130157
chr3	158322886	158322991	MLF1	+	8	NM_001130157
chr3	158300624	158300718	MLF1	+	2	NM_001195432
chr3	158310223	158310370	MLF1	+	3	NM_001195432
chr3	158311171	158311215	MLF1	+	4	NM_001195432
chr3	158314651	158314734	MLF1	+	5	NM_001195432
chr3	158315869	158315997	MLF1	+	6	NM_001195432
chr3	158317803	158317962	MLF1	+	7	NM_001195432
chr3	158320596	158320728	MLF1	+	8	NM_001195432
chr3	158322886	158322991	MLF1	+	9	NM_001195432
chr3	158310251	158310370	MLF1	+	3	NM_001195433
chr3	158314651	158314734	MLF1	+	4	NM_001195433
chr3	158317803	158317962	MLF1	+	5	NM_001195433
chr3	158320596	158320728	MLF1	+	6	NM_001195433
chr3	158322886	158322991	MLF1	+	7	NM_001195433
chr3	158310251	158310370	MLF1	+	3	NM_001195434
chr3	158311171	158311215	MLF1	+	4	NM_001195434
chr3	158314651	158314734	MLF1	+	5	NM_001195434
chr3	158315869	158315997	MLF1	+	6	NM_001195434
chr3	158317803	158317962	MLF1	+	7	NM_001195434
chr3	158320596	158320728	MLF1	+	8	NM_001195434
chr3	158322886	158322991	MLF1	+	9	NM_001195434
chr3	158289090	158289136	MLF1	+	1	NM_022443
chr3	158310223	158310370	MLF1	+	2	NM_022443
chr3	158314651	158314734	MLF1	+	3	NM_022443
chr3	158315869	158315997	MLF1	+	4	NM_022443
chr3	158317803	158317962	MLF1	+	5	NM_022443
chr3	158320596	158320728	MLF1	+	6	NM_022443
chr3	158322886	158322991	MLF1	+	7	NM_022443
chr3	168802697	168802831	MECOM	-	17	NM_004991
chr3	168806788	168806971	MECOM	-	16	NM_004991
chr3	168807788	168808024	MECOM	-	15	NM_004991
chr3	168810746	168810890	MECOM	-	14	NM_004991
chr3	168812864	168813033	MECOM	-	13	NM_004991
chr3	168818673	168818750	MECOM	-	12	NM_004991
chr3	168819848	168820014	MECOM	-	11	NM_004991
chr3	168825714	168825740	MECOM	-	10	NM_004991
chr3	168830575	168830662	MECOM	-	9	NM_004991
chr3	168833171	168834527	MECOM	-	8	NM_004991
chr3	168838844	168838997	MECOM	-	7	NM_004991
chr3	168840368	168840515	MECOM	-	6	NM_004991
chr3	168845632	168845848	MECOM	-	5	NM_004991
chr3	168849217	168849319	MECOM	-	4	NM_004991
chr3	168861486	168861620	MECOM	-	3	NM_004991
chr3	169098975	169099312	MECOM	-	2	NM_004991
chr3	169381124	169381160	MECOM	-	1	NM_004991
chr3	168802697	168802831	MECOM	-	17	NM_001105077
chr3	168806788	168806971	MECOM	-	16	NM_001105077
chr3	168807788	168808024	MECOM	-	15	NM_001105077
chr3	168810746	168810890	MECOM	-	14	NM_001105077
chr3	168812864	168813033	MECOM	-	13	NM_001105077
chr3	168818673	168818750	MECOM	-	12	NM_001105077
chr3	168819848	168820014	MECOM	-	11	NM_001105077
chr3	168825714	168825740	MECOM	-	10	NM_001105077
chr3	168830575	168830662	MECOM	-	9	NM_001105077
chr3	168833171	168834527	MECOM	-	8	NM_001105077
chr3	168838844	168839000	MECOM	-	7	NM_001105077
chr3	168840368	168840515	MECOM	-	6	NM_001105077
chr3	168845632	168845848	MECOM	-	5	NM_001105077
chr3	168849217	168849319	MECOM	-	4	NM_001105077
chr3	168861486	168861620	MECOM	-	3	NM_001105077
chr3	168862785	168862787	MECOM	-	2	NM_001105077
chr3	168802697	168802831	MECOM	-	16	NM_001105078
chr3	168806788	168806971	MECOM	-	15	NM_001105078
chr3	168807788	168808024	MECOM	-	14	NM_001105078
chr3	168810746	168810890	MECOM	-	13	NM_001105078
chr3	168812864	168813033	MECOM	-	12	NM_001105078
chr3	168818673	168818750	MECOM	-	11	NM_001105078
chr3	168819848	168820014	MECOM	-	10	NM_001105078
chr3	168825714	168825740	MECOM	-	9	NM_001105078
chr3	168830575	168830662	MECOM	-	8	NM_001105078
chr3	168833171	168834527	MECOM	-	7	NM_001105078
chr3	168838844	168838997	MECOM	-	6	NM_001105078
chr3	168840368	168840515	MECOM	-	5	NM_001105078
chr3	168845632	168845848	MECOM	-	4	NM_001105078
chr3	168849217	168849265	MECOM	-	3	NM_001105078
chr3	168802697	168802831	MECOM	-	16	NM_005241
chr3	168806788	168806971	MECOM	-	15	NM_005241
chr3	168807788	168808024	MECOM	-	14	NM_005241
chr3	168810746	168810890	MECOM	-	13	NM_005241
chr3	168812864	168813033	MECOM	-	12	NM_005241
chr3	168818673	168818750	MECOM	-	11	NM_005241
chr3	168819848	168820014	MECOM	-	10	NM_005241
chr3	168825714	168825740	MECOM	-	9	NM_005241
chr3	168830575	168830662	MECOM	-	8	NM_005241
chr3	168833171	168834527	MECOM	-	7	NM_005241
chr3	168838844	168838997	MECOM	-	6	NM_005241
chr3	168840368	168840515	MECOM	-	5	NM_005241
chr3	168845632	168845848	MECOM	-	4	NM_005241
chr3	168849217	168849265	MECOM	-	3	NM_005241
chr3	168802697	168802831	MECOM	-	15	NM_001163999
chr3	168806788	168806971	MECOM	-	14	NM_001163999
chr3	168807788	168808024	MECOM	-	13	NM_001163999
chr3	168810746	168810890	MECOM	-	12	NM_001163999
chr3	168812864	168813033	MECOM	-	11	NM_001163999
chr3	168818673	168818750	MECOM	-	10	NM_001163999
chr3	168819848	168820014	MECOM	-	9	NM_001163999
chr3	168830575	168830662	MECOM	-	8	NM_001163999
chr3	168833171	168834527	MECOM	-	7	NM_001163999
chr3	168838844	168839000	MECOM	-	6	NM_001163999
chr3	168840368	168840515	MECOM	-	5	NM_001163999
chr3	168845632	168845848	MECOM	-	4	NM_001163999
chr3	168849217	168849265	MECOM	-	3	NM_001163999
chr3	168802697	168802831	MECOM	-	15	NM_001164000
chr3	168806788	168806971	MECOM	-	14	NM_001164000
chr3	168807788	168808024	MECOM	-	13	NM_001164000
chr3	168810746	168810890	MECOM	-	12	NM_001164000
chr3	168812864	168813033	MECOM	-	11	NM_001164000
chr3	168818673	168818750	MECOM	-	10	NM_001164000
chr3	168819848	168820014	MECOM	-	9	NM_001164000
chr3	168830575	168830662	MECOM	-	8	NM_001164000
chr3	168833171	168834527	MECOM	-	7	NM_001164000
chr3	168838844	168838997	MECOM	-	6	NM_001164000
chr3	168840368	168840515	MECOM	-	5	NM_001164000
chr3	168845632	168845848	MECOM	-	4	NM_001164000
chr3	168849217	168849265	MECOM	-	3	NM_001164000
chr3	168802697	168802831	MECOM	-	16	NM_001205194
chr3	168806788	168806971	MECOM	-	15	NM_001205194
chr3	168807788	168808024	MECOM	-	14	NM_001205194
chr3	168810746	168810890	MECOM	-	13	NM_001205194
chr3	168812864	168813033	MECOM	-	12	NM_001205194
chr3	168818673	168818750	MECOM	-	11	NM_001205194
chr3	168819848	168820014	MECOM	-	10	NM_001205194
chr3	168825714	168825740	MECOM	-	9	NM_001205194
chr3	168830575	168830662	MECOM	-	8	NM_001205194
chr3	168833171	168834527	MECOM	-	7	NM_001205194
chr3	168838844	168838997	MECOM	-	6	NM_001205194
chr3	168840368	168840515	MECOM	-	5	NM_001205194
chr3	168845632	168845848	MECOM	-	4	NM_001205194
chr3	168849217	168849265	MECOM	-	3	NM_001205194
chr3	187440246	187440389	BCL6	-	10	NM_001706
chr3	187442729	187442866	BCL6	-	9	NM_001706
chr3	187443287	187443417	BCL6	-	8	NM_001706
chr3	187444519	187444686	BCL6	-	7	NM_001706
chr3	187446148	187446332	BCL6	-	6	NM_001706
chr3	187446838	187447809	BCL6	-	5	NM_001706
chr3	187449497	187449718	BCL6	-	4	NM_001706
chr3	187451321	187451481	BCL6	-	3	NM_001706
chr3	187440246	187440389	BCL6	-	8	NM_001134738
chr3	187442729	187442866	BCL6	-	7	NM_001134738
chr3	187443287	187443417	BCL6	-	6	NM_001134738
chr3	187446148	187446332	BCL6	-	5	NM_001134738
chr3	187446838	187447809	BCL6	-	4	NM_001134738
chr3	187449497	187449718	BCL6	-	3	NM_001134738
chr3	187451321	187451481	BCL6	-	2	NM_001134738
chr3	187440246	187440389	BCL6	-	10	NM_001130845
chr3	187442729	187442866	BCL6	-	9	NM_001130845
chr3	187443287	187443417	BCL6	-	8	NM_001130845
chr3	187444519	187444686	BCL6	-	7	NM_001130845
chr3	187446148	187446332	BCL6	-	6	NM_001130845
chr3	187446838	187447809	BCL6	-	5	NM_001130845
chr3	187449497	187449718	BCL6	-	4	NM_001130845
chr3	187451321	187451481	BCL6	-	3	NM_001130845
chr3	189507590	189507631	TP63	+	1	NM_001114981
chr3	189526061	189526315	TP63	+	2	NM_001114981
chr3	189582021	189582207	TP63	+	3	NM_001114981
chr3	189584471	189584586	TP63	+	4	NM_001114981
chr3	189585622	189585731	TP63	+	5	NM_001114981
chr3	189586369	189586505	TP63	+	6	NM_001114981
chr3	189587113	189587195	TP63	+	7	NM_001114981
chr3	189590648	189590784	TP63	+	8	NM_001114981
chr3	189604183	189604340	TP63	+	9	NM_001114981
chr3	189607129	189607273	TP63	+	10	NM_001114981
chr3	189611995	189612010	TP63	+	11	NM_001114981
chr3	189349305	189349366	TP63	+	1	NM_003722
chr3	189455529	189455657	TP63	+	2	NM_003722
chr3	189456431	189456563	TP63	+	3	NM_003722
chr3	189526061	189526315	TP63	+	4	NM_003722
chr3	189582021	189582207	TP63	+	5	NM_003722
chr3	189584471	189584586	TP63	+	6	NM_003722
chr3	189585622	189585731	TP63	+	7	NM_003722
chr3	189586369	189586505	TP63	+	8	NM_003722
chr3	189587113	189587195	TP63	+	9	NM_003722
chr3	189590648	189590784	TP63	+	10	NM_003722
chr3	189604183	189604340	TP63	+	11	NM_003722
chr3	189607129	189607273	TP63	+	12	NM_003722
chr3	189608578	189608671	TP63	+	13	NM_003722
chr3	189611995	189612291	TP63	+	14	NM_003722
chr3	189349305	189349366	TP63	+	1	NM_001329144
chr3	189455529	189455657	TP63	+	2	NM_001329144
chr3	189456431	189456563	TP63	+	3	NM_001329144
chr3	189526061	189526315	TP63	+	4	NM_001329144
chr3	189582021	189582207	TP63	+	5	NM_001329144
chr3	189584471	189584586	TP63	+	6	NM_001329144
chr3	189585622	189585731	TP63	+	7	NM_001329144
chr3	189586369	189586505	TP63	+	8	NM_001329144
chr3	189587113	189587195	TP63	+	9	NM_001329144
chr3	189590648	189590784	TP63	+	10	NM_001329144
chr3	189604183	189604340	TP63	+	11	NM_001329144
chr3	189611995	189612020	TP63	+	12	NM_001329144
chr3	189507590	189507631	TP63	+	1	NM_001329145
chr3	189526061	189526315	TP63	+	2	NM_001329145
chr3	189582021	189582207	TP63	+	3	NM_001329145
chr3	189584471	189584586	TP63	+	4	NM_001329145
chr3	189585622	189585731	TP63	+	5	NM_001329145
chr3	189586369	189586505	TP63	+	6	NM_001329145
chr3	189587113	189587195	TP63	+	7	NM_001329145
chr3	189590648	189590784	TP63	+	8	NM_001329145
chr3	189604183	189604340	TP63	+	9	NM_001329145
chr3	189611995	189612020	TP63	+	10	NM_001329145
chr3	189349305	189349366	TP63	+	1	NM_001329148
chr3	189455529	189455657	TP63	+	2	NM_001329148
chr3	189456431	189456563	TP63	+	3	NM_001329148
chr3	189526061	189526315	TP63	+	4	NM_001329148
chr3	189582021	189582207	TP63	+	5	NM_001329148
chr3	189584471	189584586	TP63	+	6	NM_001329148
chr3	189585622	189585731	TP63	+	7	NM_001329148
chr3	189586369	189586493	TP63	+	8	NM_001329148
chr3	189587113	189587195	TP63	+	9	NM_001329148
chr3	189590648	189590784	TP63	+	10	NM_001329148
chr3	189604183	189604340	TP63	+	11	NM_001329148
chr3	189607129	189607273	TP63	+	12	NM_001329148
chr3	189608578	189608671	TP63	+	13	NM_001329148
chr3	189611995	189612291	TP63	+	14	NM_001329148
chr3	189507590	189507631	TP63	+	1	NM_001329146
chr3	189582021	189582207	TP63	+	2	NM_001329146
chr3	189584471	189584586	TP63	+	3	NM_001329146
chr3	189585622	189585731	TP63	+	4	NM_001329146
chr3	189586369	189586505	TP63	+	5	NM_001329146
chr3	189587113	189587195	TP63	+	6	NM_001329146
chr3	189590648	189590784	TP63	+	7	NM_001329146
chr3	189604183	189604340	TP63	+	8	NM_001329146
chr3	189607129	189607273	TP63	+	9	NM_001329146
chr3	189608578	189608671	TP63	+	10	NM_001329146
chr3	189611995	189612291	TP63	+	11	NM_001329146
chr3	189507590	189507631	TP63	+	1	NM_001329149
chr3	189526061	189526315	TP63	+	2	NM_001329149
chr3	189582021	189582207	TP63	+	3	NM_001329149
